Dystans do przejscia: 100, dlugosc kroku: 20
0: (x,y) = (-13.1212, 15.0942)
1: (x,y) = (-32.7537, 18.9104)
2: (x,y) = (-49.3345, 7.72651)
3: (x,y) = (-46.8971, 27.5774)
4: (x,y) = (-27.771, 21.73)
5: (x,y) = (-41.411, 36.3571)
6: (x,y) = (-29.6553, 52.5374)
7: (x,y) = (-29.3062, 32.5405)
8: (x,y) = (-46.7986, 22.8443)
9: (x,y) = (-28.0047, 29.6847)
10: (x,y) = (-10.6842, 19.6847)
11: (x,y) = (-1.91682, 1.70879)
12: (x,y) = (9.83889, 17.8891)
13: (x,y) = (-6.74186, 6.70527)
14: (x,y) = (-25.6522, 13.2166)
15: (x,y) = (-40.039, -0.676531)
16: (x,y) = (-53.1602, -15.7707)
17: (x,y) = (-60.3276, 2.90089)
18: (x,y) = (-42.2014, 11.3533)
19: (x,y) = (-40.8063, 31.3045)
20: (x,y) = (-59.6001, 38.1449)
21: (x,y) = (-39.7492, 35.7075)
22: (x,y) = (-45.5967, 54.8336)
23: (x,y) = (-55.5967, 37.5131)
24: (x,y) = (-35.9005, 40.9861)
25: (x,y) = (-51.6607, 28.6729)
26: (x,y) = (-52.7074, 48.6455)
27: (x,y) = (-33.1445, 44.4872)
28: (x,y) = (-21.1082, 28.5145)
29: (x,y) = (-38.7671, 19.1251)
30: (x,y) = (-37.372, 39.0764)
31: (x,y) = (-17.375, 39.4254)
32: (x,y) = (-2.05416, 52.2812)
33: (x,y) = (10.8016, 67.6021)
34: (x,y) = (30.6525, 70.0394)
35: (x,y) = (44.2925, 55.4124)
36: (x,y) = (34.9031, 73.0713)
37: (x,y) = (54.1283, 67.5586)
38: (x,y) = (57.6013, 87.2547)
Po 39 krokach delikwent osiagnal polozenie:
(x,y) = (57.6013, 87.2547)
 czyli
(m,a) = (104.553, 56.5692)
Srednia dlugosc kroku pozornego = 2.68084
Dystans do przejscia: 20, dlugosc kroku: 1
0: (x,y) = (0.898794, 0.438371)
1: (x,y) = (1.8051, 0.0157529)
2: (x,y) = (0.854045, -0.293264)
3: (x,y) = (-0.120325, -0.518215)
4: (x,y) = (-0.328236, 0.459932)
5: (x,y) = (-0.670257, 1.39963)
6: (x,y) = (-0.962628, 0.44332)
7: (x,y) = (-0.0966029, -0.0566797)
8: (x,y) = (-0.895238, 0.545135)
9: (x,y) = (-1.13716, 1.51543)
10: (x,y) = (-1.5439, 2.42898)
11: (x,y) = (-1.85291, 3.38003)
12: (x,y) = (-0.932409, 3.77076)
13: (x,y) = (-1.93226, 3.75331)
14: (x,y) = (-1.33044, 2.95468)
15: (x,y) = (-2.11845, 2.33901)
16: (x,y) = (-1.21214, 1.9164)
17: (x,y) = (-2.17807, 2.17522)
18: (x,y) = (-1.3209, 2.69025)
19: (x,y) = (-0.369847, 2.99927)
20: (x,y) = (-1.34014, 3.24119)
21: (x,y) = (-1.13223, 4.21934)
22: (x,y) = (-0.266205, 4.71934)
23: (x,y) = (-1.2624, 4.63218)
24: (x,y) = (-2.25009, 4.47575)
25: (x,y) = (-1.25389, 4.56291)
26: (x,y) = (-0.287968, 4.30409)
27: (x,y) = (-0.757439, 5.18703)
28: (x,y) = (0.242561, 5.18703)
29: (x,y) = (1.16974, 4.81243)
30: (x,y) = (1.87685, 4.10532)
31: (x,y) = (2.36166, 4.97994)
32: (x,y) = (3.13881, 5.60926)
33: (x,y) = (3.79487, 6.36397)
34: (x,y) = (2.91192, 6.83344)
35: (x,y) = (3.76909, 7.34848)
36: (x,y) = (4.69627, 7.72309)
37: (x,y) = (4.10848, 8.5321)
38: (x,y) = (3.35377, 7.87604)
39: (x,y) = (2.53462, 7.30247)
40: (x,y) = (2.46487, 6.3049)
41: (x,y) = (1.64571, 6.87848)
42: (x,y) = (0.836697, 7.46627)
43: (x,y) = (1.82924, 7.3444)
44: (x,y) = (0.841555, 7.18796)
45: (x,y) = (0.25377, 6.37895)
46: (x,y) = (-0.0050495, 7.34487)
47: (x,y) = (-1.00444, 7.30997)
48: (x,y) = (-1.31346, 6.35891)
49: (x,y) = (-1.57228, 5.39299)
50: (x,y) = (-0.665969, 5.81561)
51: (x,y) = (-0.441018, 4.84124)
52: (x,y) = (0.41615, 5.35628)
53: (x,y) = (-0.349895, 5.99906)
54: (x,y) = (-1.29541, 6.32463)
55: (x,y) = (-0.349895, 6.6502)
56: (x,y) = (-0.591817, 7.62049)
57: (x,y) = (-0.52206, 6.62293)
58: (x,y) = (-1.50369, 6.43212)
59: (x,y) = (-2.39469, 6.88611)
60: (x,y) = (-3.20371, 6.29833)
61: (x,y) = (-4.20356, 6.31578)
62: (x,y) = (-4.35999, 5.32809)
63: (x,y) = (-3.36136, 5.38043)
64: (x,y) = (-4.34617, 5.20678)
65: (x,y) = (-3.45516, 4.75279)
66: (x,y) = (-4.11122, 5.5075)
67: (x,y) = (-3.30221, 6.09528)
68: (x,y) = (-3.14577, 7.08297)
69: (x,y) = (-2.51645, 6.30583)
70: (x,y) = (-3.10424, 7.11484)
71: (x,y) = (-2.14793, 7.40721)
72: (x,y) = (-1.95712, 6.42559)
73: (x,y) = (-2.65178, 7.14493)
74: (x,y) = (-2.09259, 7.97396)
75: (x,y) = (-1.1654, 8.34857)
76: (x,y) = (-2.16297, 8.27881)
77: (x,y) = (-1.33393, 8.83801)
78: (x,y) = (-2.13257, 8.23619)
79: (x,y) = (-2.08023, 7.23756)
80: (x,y) = (-2.4386, 8.17114)
81: (x,y) = (-3.25775, 7.59757)
82: (x,y) = (-3.39692, 6.6073)
83: (x,y) = (-4.28793, 6.15331)
